n,CNB I,CNB II
127,5.523622901871959e-06,3.7250817494238445e-05
128,6.121957953505398e-06,4.012656283996855e-05
129,6.78054430809015e-06,4.320349477575419e-05
130,7.5049222722059444e-06,4.649394117540002e-05
131,8.301084227945875e-06,5.001084697199549e-05
132,9.175505604428558e-06,5.3767794622861674e-05
133,1.0135177391670577e-05,5.777902447062546e-05
134,1.1187640212601828e-05,6.205945492688731e-05
135,1.2341019963472486e-05,6.662470239983252e-05
136,1.3604065037075757e-05,7.149110088190617e-05
137,1.4986185134592756e-05,7.667572110844804e-05
138,1.6497491653730306e-05,8.219638919302753e-05
139,1.8148839627532797e-05,8.807170463975253e-05
140,1.995187118138641e-05,9.432105762781094e-05
141,2.1919060480371038e-05,0.00010096464545807247
142,2.4063760122918178e-05,0.00010802348804667696
143,2.6400248915780374e-05,0.0001155194423453702
144,2.894378094348184e-05,0.0001234752155635855
145,3.171063583397637e-05,0.00013191437706252352
146,3.471817012148246e-05,0.0001408613687870397
147,3.798486958915345e-05,0.0001503415140968634
148,4.153040245561191e-05,0.00016038102485480162
149,4.537567324142121e-05,0.0001710070066258447
150,4.954287712877765e-05,0.00018224746183816175
151,5.405555460798608e-05,0.00019413129075351293
152,5.8938646208579394e-05,0.00020668829009301654
153,6.421854708194935e-05,0.00021994914916159122
154,6.992316116985485e-05,0.0002339454433135772
155,7.60819546710787e-05,0.00024870962460096216
156,8.272600849098565e-05,0.00026427500944565646
157,8.988806935368083e-05,0.0002806757631778594
158,9.760259922887327e-05,0.0002979468812834219
159,0.00010590582270168209,0.0003161241672057069
160,0.00011483577188395989,0.00033524420654987936
161,0.0001244323284440089,0.00035534433754127385
162,0.00013473726231211884,0.000376462617594045
163,0.0001457942666092537,0.0003986377858518328
164,0.0001576489883138321,0.0004219092215685329
165,0.0001703490541641702,0.0004463168982043623
166,0.00018394409127063231,0.00047190133312120255
167,0.00019848574190651515,0.0004987035327703954
168,0.00021402767193688077,0.0005267649332767421
169,0.0002306255723185615,0.0005561273363333114
170,0.00024833715310419095,0.0005868328403353568
171,0.00026722212936875086,0.0006189237666943928
172,0.0002873421984837767,0.0006524425812885061
173,0.00030876100814922387,0.0006874318110207274
174,0.00033154411460510413,0.0007239339554739871
175,0.0003557589304551966,0.0007619913936695995
176,0.0003814746615368513,0.0008016462859539806
177,0.00040876223229835163,0.0008429404710593842
178,0.00043769419914353443,0.0008859153584046289
179,0.00046834465124361295,0.0009306118157230464
180,0.0005007890983367867,0.0009770700521283887
181,0.0005351043450650814,0.0010253294967519342
182,0.000571368351456978,0.00107542867310764
183,0.0006096600791855709,0.0011274050693684263
184,0.0006500593232933819,0.001181295004759856
185,0.000692646529125701,0.001237133492303722
186,0.0007375025942701711,0.0012949540981711037
187,0.0007847086553702515,0.0013547887979284369
188,0.0008343458597545343,0.001416667829987987
189,0.0008864951218916043,0.0014806195466001756
190,0.0009412368647657305,0.0015466702627502673
191,0.000998650746351689,0.0016148441033490514
192,0.0010588153714601396,0.001685162849131675
193,0.0011218079893148558,0.0017576457817046922
194,0.0011877041773329414,0.001832309528203721
195,0.001256577511665523,0.0019091679060494883
196,0.001328499225167489,0.0019882317683114392
197,0.001403537853577892,0.0020695088502086048
198,0.0014817588708019305,0.0021530036172987886
199,0.0015632243142858187,0.0022387171159234786
200,0.0016479924015978384,0.0023266468264949054
201,0.0017361171394352003,0.0024167865202247675
202,0.0018276479263834987,0.002509126119907489
203,0.0019226291508836954,0.002603651565383171
204,0.0020210997859325328,0.0027003446843116732
205,0.002123092982189061,0.002799183068897447
206,0.0022286356612323675,0.0029001399592080415
207,0.0023377481107987826,0.0030031841337289688
208,0.0024504435839543476,0.003108279807798756
209,0.00256672790419318,0.0032153865405604603
210,0.002686599078572051,0.0033244591510604425
211,0.0028100469210140784,0.0034354476441145485
212,0.0029370526879969362,0.0035482971465470806
213,0.0030675887288727603,0.003662947854392562
214,0.0032016181531095565,0.003779334991629665
215,0.0033390945167530856,0.0038973887809936945
216,0.0034799615304248557,0.004017034427387848
217,0.0036241527911704116,0.004138192114383214
218,0.003771591540427867,0.00426077701426554
219,0.003922190450399725,0.004384699312049932
220,0.004075851441005834,0.004509864243847622
221,0.004232465529572439,0.004636172149923013
222,0.004391912715309676,0.004763518542739756
223,0.004554061900549452,0.004891794190241883
224,0.004718770850575794,0.005020885214569004
225,0.0048858861938012735,0.005150673206350322
226,0.00505524346384036,0.005281035354668348
227,0.005226667184913492,0.00541184459272424
228,0.005399971001825233,0.005542969759180194
229,0.005574957855576178,0.005674275775091643
230,0.005751420205464556,0.005805623836280917
231,0.005929140298326765,0.005936871620941247
232,0.00610789048533065,0.006067873512195142
233,0.006287433586499013,0.006198480835267323
234,0.006467523302912831,0.006328542108867601
235,0.006647904676263691,0.006457903310313862
236,0.006828314595193576,0.006586408153861602
237,0.007008482347569907,0.006713898381642528
238,0.007188130217596741,0.00684021406655228
239,0.007366974126372101,0.006965193926365876
240,0.007544724314258858,0.0070886756482998374
241,0.007721086063147513,0.007210496223183499
242,0.007895760456423357,0.007330492288345454
243,0.008068445174220463,0.0074485004782693905
244,0.008238835321260494,0.007564357782024245
245,0.008406624284360033,0.007677901906427272
246,0.008571504616440156,0.007788971643856346
247,0.008733168943679568,0.007897407243588742
248,0.00889131089222707,0.008003050785509924
249,0.00904562603072586,0.008105746555005322
250,0.00919581282472319,0.00820534141782296
251,0.009341573598902385,0.008301685193674364
252,0.009482615502940201,0.008394631027325489
253,0.00961865147670313,0.008484035755919791
254,0.009749401210410074,0.008569760271269641
255,0.00987459209534039,0.00865166987585423
256,0.009993960160636958,0.008729634631267085
257,0.010107250991754997,0.008803529697868765
258,0.010214220626132876,0.008873235664417443
259,0.010314636421712315,0.008938638866473168
260,0.010408277894020143,0.008999631692400017
261,0.010494937517627784,0.009056112875824656
262,0.010574421487939134,0.009107987773449192
263,0.010646550439417623,0.009155168627161103
264,0.010711160116550017,0.009197574809432809
265,0.010768101994050296,0.009235133051058483
266,0.010817243843045587,0.009267777650335077
267,0.010858470240237363,0.009295450662858614
268,0.01089168301730389,0.009318102071175186
269,0.010916801648113214,0.00933568993359791
270,0.010933763571615233,0.009348180511576789
271,0.010942524448617215,0.009355548375087706
272,0.010943058350980299,0.009357776485587834
273,0.01093535788212551,0.00935485625616928
274,0.010919434228091213,0.009346787588629224
275,0.010895317138761629,0.00933357888726219
276,0.010863054839227207,0.009315247049269506
277,0.010822713871640058,0.009291817431770537
278,0.010774378868252448,0.009263323795491217
279,0.010718152256734791,0.0092298082252941
280,0.01065415389918444,0.009191321027805247
281,0.010582520666609389,0.009147920606480986
282,0.010503405950998699,0.009099673314544024
283,0.010416979117416087,0.0090466532863047
284,0.010323424898848601,0.0089889422474659
285,0.010222942736855334,0.008926629305089149
286,0.010115746071307443,0.008859810717978157
287,0.01000206158276954,0.008788589648308158
288,0.009882128391296884,0.008713075895400334
289,0.009756197215633745,0.008633385612604884
290,0.009624529496944575,0.008549641008318424
291,0.009487396491402535,0.00846197003221721
292,0.009345078336037984,0.008370506047838925
293,0.00919786309238467,0.008275387492691386
294,0.00904604577248963,0.008176757527107621
295,0.008889927351921737,0.008074763673100895
296,0.008729813774406094,0.007969557444502479
297,0.00856601495268911,0.007861293969688763
298,0.00839884377022279,0.007750131608219508
299,0.008228615088144067,0.007636231562723386
300,0.008055644761945934,0.007519757487368366
301,0.007880248672124434,0.0074008750942565205
302,0.0077027417729162466,0.0072797517590747485
303,0.007523437163090785,0.007156556127320407
304,0.007342645182545302,0.007031457722403316
305,0.007160672538283671,0.006904626556900096
306,0.006977821463080967,0.006776232748209888
307,0.006794388909939708,0.006646446139824174
308,0.006610665785167078,0.006515435929385099
309,0.006426936222616972,0.006383370304662942
310,0.006243476901413028,0.006250416088534033
311,0.006060556409137787,0.0061167383939898625
312,0.005878434652200625,0.005982500290149985
313,0.005697362314817382,0.005847862480193459
314,0.005517580367720916,0.005712982992060713
315,0.0053393196274418,0.005578016882711649
316,0.0051628003667067305,0.005443115956659023
317,0.0049882319762143456,0.005308428499427259
318,0.004815812677770624,0.005174099026514142
319,0.004645729288496738,0.005040268048362501
320,0.004478157035567255,0.004907071851774986
321,0.004313259420679541,0.00477464229813189
322,0.004151188133212912,0.004643106638698569
323,0.003992083010847846,0.004512587347236452
324,0.003836072046150435,0.0043832019700585055
325,0.0036832714374967937,0.004255062993599402
326,0.0035337856824893157,0.004128277729500178
327,0.003387707711891,0.004002948217139707
328,0.003245119061943162,0.003879171143478191
329,0.0031060900828204243,0.0037570377800144918
330,0.00297068018086654,0.003636633936598107
331,0.002838938092178873,0.0035180399317763593
332,0.0027109021850255173,0.0034013305793041855
333,0.0025866007885402276,0.0032865751903896167
334,0.002466052545111984,0.003173837591199293
335,0.002349266783853222,0.0030631761551040936
336,0.0022362439125466443,0.002954643849101482
337,0.002126975825481468,0.0028482882938140604
338,0.0020214463246211217,0.0027441518364294893
339,0.0019196315515882668,0.0026422716359163667
340,0.0018215004280135887,0.0025426797598244563
341,0.0017270151018639545,0.0024454032919548866
342,0.0016361313974477144,0.0023504644501675994
343,0.0015487992668854326,0.0022578807135791206
344,0.0014649632409327428,0.002167664958391505
345,0.0013845628771560852,0.002079825601587992
346,0.0013075332035732824,0.001994366751726153
347,0.0012338051559873944,0.001911288366060314
348,0.001163306007374453,0.0018305864132277896
349,0.0010959597878084674,0.0017522530407416096
350,0.0010316876935437356,0.0016762767465408198
351,0.000970408483997128,0.001602642553863506
352,0.000912038865515599,0.0015313321887238096
353,0.0008564938609395719,0.0014623242592908354
354,0.00080368716410644,0.0013955944364902478
355,0.0007535314785623631,0.001331115635170716
356,0.0007059388398837253,0.00126885819520333
357,0.0006608209211237887,0.0012087900619084091
358,0.0006180893210202011,0.001150876965232752
359,0.0005776558347140502,0.001095082597130228
360,0.0005394327068341912,0.0010413687866291923
361,0.0005033328669056391,0.0009896956721024551
362,0.00046927014713702493,0.0009400218702883646
363,0.0004371594827276949,0.0008923046416441083
364,0.0004069170949219072,0.000846500051646979
365,0.0003784606571111104,0.0008025631276919876
366,0.00035170944435783435,0.0007604480112693417
367,0.0003265844667737608,0.0007201081051377622
368,0.0003030085872437934,0.0006814962152436651
369,0.00028090662403472015,0.0006445646871688632
370,0.00026020543887159,0.0006092655369217181
371,0.0002408340111001229,0.0005755505759180562
372,0.00022272349858389607,0.0005433715300288666
373,0.00020580728600887215,0.0005126801526014405
374,0.00019002102128653565,0.0004834283313889368
375,0.00017530264075893109,0.00045556818935095516
376,0.0001615923839174079,0.00042905217931365737
377,0.0001488327983491344,0.00040383317250281675
378,0.00013696873562383808,0.0003798645409863998
379,0.00012594733882783263,0.0003571002340854257
380,0.00011571802244174188,0.0003354948488325179
381,0.00010623244524617312,0.00031500369457607835
382,9.744447692272729e-05,0.0002955828518460435
383,8.931015899932226e-05,0.00027718922561304084
384,8.17876607665408e-05,0.0002597805930871594
385,7.483723076898671e-05,0.0002433156462158065
386,6.842114444993892e-05,0.00022775402905153347
387,6.250364850115993e-05,0.00021305637017083798
388,5.7050902441506124e-05,0.00019918431033378385
389,5.203091791926126e-05,0.00018610052558146802
390,4.7413496204535273e-05,0.00017376874597441847
391,4.3170164307172965e-05,0.00016215377017979248
392,3.927411012674833e-05,0.0001512214761185956
393,3.570011701102488e-05,0.0001409388278866366
394,3.2424498070042566e-05,0.00013127387916404623
395,2.9425030563777095e-05,0.00012219577332837965
396,2.6680890653159767e-05,0.00011367474048550917
397,2.4172588776516133e-05,0.00010568209163083562
398,2.188190588671922e-05,9.819021015068073e-05
399,1.979183075866947e-05,9.117254087046169e-05
400,1.7886498551861013e-05,8.46035768521469e-05
401,1.61511307894295e-05,7.845884413871886e-05
402,1.4571976892373379e-05,7.271488463821965e-05
403,1.313625738700712e-05,6.734923733401504e-05
404,1.1832108883184596e-05,6.234041800173601e-05
405,1.0648530902797809e-05,5.766789760669654e-05
406,9.575334620374916e-06,5.331207954863913e-05
407,8.603093561747946e-06,4.9254275913406244e-05
408,7.723096291884758e-06,4.5476682883699386e-05
409,6.927301109557355e-06,4.196235545350759e-05
410,6.2082927541488475e-06,3.869518158302644e-05
411,5.559241118754101e-06,3.5659855923163656e-05
412,4.973861953806377e-06,3.284185323089146e-05
413,4.446379536546594e-06,3.0227401588971672e-05
414,3.9714912737592626e-06,2.7803455535831124e-05
415,3.5443341984314704e-06,2.5557669203782157e-05
416,3.1604533149821088e-06,2.3478369556274628e-05
417,2.8157717427336453e-06,2.155452980754192e-05
418,2.506562603082427e-06,1.9775743100853793e-05
419,2.2294225923484965e-06,1.8132196514636407e-05
420,1.981247179617068e-06,1.66146454590023e-05
421,1.759207366742061e-06,1.521438851875187e-05
422,1.5607279462657688e-06,1.392324279267654e-05
423,1.383467192035416e-06,1.2733519773044815e-05
424,1.2252979168961435e-06,1.163800180345682e-05
425,1.084289831824289e-06,1.062991914786463e-05
426,9.586931412751663e-07,9.702927698437644e-06
427,8.469233102643798e-07,8.851087345140029e-06
428,7.475469397632249e-07,8.06884102534965e-06
429,6.59268688298627e-07,7.35099446762202e-06
430,5.809191791951988e-07,6.692696639746642e-06
431,5.114438346278083e-07,6.089420907587181e-06
432,4.498925795447671e-07,5.5369469078119085e-06
433,3.9541036052998677e-07,5.031343134509182e-06
434,3.472284267876632e-07,4.568950236847874e-06
435,3.0465632261691556e-07,4.1463650223504076e-06
436,2.6707454297228713e-07,3.7604251580172566e-06
437,2.339278059678399e-07,3.4081945594420636e-06
438,2.0471889845028406e-07,3.0869494561928947e-06
439,1.7900305302983558e-07,2.7941651200863944e-06
440,1.5638281719550333e-07,2.5275032415434e-06
441,1.3650337734746163e-07,2.2847999379696234e-06
442,1.1904830274092746e-07,2.0640543770507227e-06
443,1.0373567644218069e-07,1.8634179969657536e-06
444,9.031458244048469e-08,1.6811843048037812e-06
445,7.856192003830426e-08,1.5157792338996651e-06
446,6.827951854494702e-08,1.3657520403779783e-06
447,5.929152712549699e-08,1.2297667188953547e-06
448,5.144205640505947e-08,1.1065939173932543e-06
449,4.45930500937052e-08,9.951033306037516e-07
450,3.8622366482293815e-08,8.942565520805544e-07
451,3.342205116019572e-08,8.031003646462513e-07
452,2.889678372593027e-08,7.20760449346487e-07
453,2.4962482599869918e-08,6.464354932730581e-07
454,2.154505330750742e-08,5.793916769518993e-07
455,1.8579266782843003e-08,5.18957522382448e-07
456,1.6007755347560387e-08,4.645190832520865e-07
457,1.3780115054483555e-08,4.155154593289519e-07
458,1.185210404673323e-08,3.714346175492788e-07
459,1.0184927479298243e-08,3.3180950285745743e-07
460,8.744600380919648e-09,2.9621442242186606e-07
461,7.501380604024303e-09,2.6426168743128905e-07
462,6.429264722129338e-09,2.3559849727205371e-07
463,5.505540390945047e-09,2.099040514893229e-07
464,4.7103892942168855e-09,1.8688687554383077e-07
465,4.026535351462121e-09,1.662823469841909e-07
466,3.4389333750788746e-09,1.4785040926115393e-07
467,2.9344938318266466e-09,1.3137346101139272e-07
468,2.5018397912129754e-09,1.1665440923174542e-07
469,2.131092533693936e-09,1.0351487534805371e-07
470,1.813682647376229e-09,9.179354375421187e-08
471,1.5421837656813899e-09,8.13446429545957e-08
472,1.3101663925768997e-09,7.203654998574184e-08
473,1.1120695287965395e-09,6.375050931956357e-08
474,9.430880541114558e-10,5.637945795951154e-08
475,7.990740392220361e-10,4.98269489325087e-08
476,6.764503581267754e-10,4.400616585210015e-08
477,5.721351496808194e-10,3.883902168222157e-08
478,4.83475837161112e-10,3.425533526564419e-08
479,4.081915585638725e-10,3.019207959660421e-08
480,3.443229895256977e-10,2.6592696213302885e-08
481,2.9018865652363227e-10,2.340647046301147e-08
482,2.443469416151148e-10,2.0587962750682705e-08
483,2.0556307257162182e-10,1.8096491221459848e-08
484,1.727804748944254e-10,1.5895661648812858e-08
485,1.450959358459916e-10,1.3952940603503201e-08
486,1.2173809617346667e-10,1.223926826479096e-08
487,1.0204884345326916e-10,1.072870750468847e-08
488,8.546723268858631e-11,9.398126129299503e-09
489,7.151560561933885e-11,8.226909398843194e-09
490,5.978762077017643e-11,7.196700170571015e-09
491,4.993794212282216e-11,6.2911642169877744e-09
492,4.1673365958564256e-11,5.495778466266667e-09
493,3.474519333046634e-11,4.79764009312904e-09
494,2.8942680204117532e-11,4.185294557376168e-09
495,2.408741892076506e-11,3.648580844355105e-09
496,2.002852362052427e-11,3.178492307533301e-09
497,1.6638508914993284e-11,2.76705164866189e-09
498,1.3809765685971791e-11,2.407198696324623e-09
499,1.1451550649802785e-11,2.092689759583196e-09
500,9.487417479295622e-12,1.8180074405050157e-09
501,7.85302700821912e-12,1.5782798881427694e-09
502,6.4942825270396314e-12,1.369208567553879e-09
503,5.365743564112605e-12,1.1870037012067197e-09
504,4.429277968112677e-12,1.0283266171032048e-09
505,3.652917684059423e-12,8.902383086159034e-10
506,3.0098884521145226e-12,7.701535758313713e-10
507,2.4777878484063542e-12,6.658001775276431e-10
508,2.0378897125413123e-12,5.751824771880772e-10
509,1.6745561394869418e-12,4.9654911603961e-10
510,1.3747409177631166e-12,4.283642913536434e-10
511,1.1275706272287648e-12,3.6928225949374916e-10
512,9.239916172132554e-13,3.1812472074782754e-10
513,7.564728122465717e-13,2.7386077713519414e-10
514,6.187557757437279e-13,2.355891854045463e-10
515,5.056447344995466e-13,2.0252265559194195e-10
516,4.1283035736281997e-13,1.7397397102659556e-10
517,3.367420149081438e-13,1.4934372877772613e-10
518,2.744240449905702e-13,1.2810952043337835e-10
519,2.234322305868931e-13,1.0981639198268092e-10
520,1.8174727763715562e-13,9.406843861285036e-11
521,1.4770257585621278e-13,8.052140559449352e-11
522,1.1992394693551834e-13,6.887618026394269e-11
523,9.727944278182888e-14,5.887307255817745e-11
524,7.883756057381069e-14,5.0286792743982765e-11
525,6.383249932892242e-14,4.2922045025621425e-11
526,5.1635301134012336e-14,3.660966472203966e-11
527,4.172990502507132e-14,3.120323477403289e-11
528,3.3693297701531497e-14,2.657612456403357e-11
529,2.7179077112324522e-14,2.2618900488614166e-11
530,2.1903856122551858e-14,1.92370634915717e-11
531,1.763602709749902e-14,1.634907391204298e-11
532,1.4186487003490191e-14,1.3884628589787846e-11
533,1.1400988807352992e-14,1.1783159255182002e-11
534,9.153840504293799e-15,9.992524865956204e-12
535,7.342719673583145e-15,8.467873782869404e-12
536,5.8844104595878356e-15,7.17065454446255e-12
537,4.711302496426521e-15,6.067756544915908e-12
538,3.7685185499408735e-15,5.130764173239184e-12
539,3.0115603975456146e-15,4.335309967595058e-12
540,2.404381429261281e-15,3.660514103450203e-12
541,1.917810243581423e-15,3.0884990936155412e-12
542,1.528262645740308e-15,2.603969954682518e-12
543,1.2166903680648096e-15,2.1938513081721825e-12
544,9.677238881077067e-16,1.846973954077578e-12
545,7.689742274694574e-16,1.5538043956846915e-12
546,6.104648305505555e-16,1.306211622171689e-12
547,4.841697641536989e-16,1.0972661825260936e-12
548,3.836387269140996e-16,9.210672224008073e-13
549,3.036928633753088e-16,7.72593715006713e-13
550,2.401782676061029e-16,6.475766072317284e-13
551,1.8976644107290117e-16,5.42389031083936e-13
552,1.4979292695318206e-16,4.539521055651649e-13
553,1.181269513650567e-16,3.7965418165684e-13
554,9.306622191911625e-17,3.1728166897377133e-13
555,7.325211607146763e-17,2.649598318895361e-13
556,5.760137785227061e-17,2.2110216004908293e-13
557,4.525116635311968e-17,1.843671071275287e-13
558,3.5514891580806186e-17,1.5362115597078827e-13
559,2.784675664253481e-17,1.279073109515185e-13
560,2.1813319295482285e-17,1.0641824221268656e-13
561,1.7070706811415172e-17,8.847341384403011e-14
562,1.3346379165353773e-17,7.349962104723052e-14
563,1.0424547687264363e-17,6.101444184074012e-14
564,8.134528497846394e-18,5.0612178454899125e-14
565,6.341449652694476e-18,4.19519236917666e-14
566,4.938843983181674e-18,3.474743941448953e-14
567,3.842751091820303e-18,2.8758579074539e-14
568,2.9870258777063155e-18,2.3784024730828257e-14
569,2.3196106361767415e-18,1.9655142190794216e-14
570,1.799575889968479e-18,1.6230786431951184e-14
571,1.3947738621675031e-18,1.3392913971960396e-14
572,1.0799796807853728e-18,1.1042879892900746e-14
573,8.354204634398214e-19,9.098315266578137e-15
574,6.456125478629124e-19,7.490496185133218e-15
575,4.984432665134909e-19,6.162128832916288e-15
576,3.844465865100868e-19,5.065486351813799e-15
577,2.962322766427177e-19,4.160842921472149e-15
578,2.280365283429312e-19,3.4151587303980437e-15
579,1.753685565068904e-19,2.800976554346359e-15
580,1.347329690640064e-19,2.295496657889978e-15
581,1.0341188705417443e-19,1.879801842898129e-15
582,7.92941336526482e-20,1.5382088124298583e-15
583,6.074146299351926e-20,1.2577257109407289e-15
584,4.6483905807865544e-20,1.027598836839125e-15
585,3.5537979476646196e-20,8.389341830200892e-16
586,2.714283373522621e-20,6.843817151541596e-16
587,2.0710450862700994e-20,5.578722063080105e-16
588,1.578684740540584e-20,4.543980613818636e-16
589,1.2021878544903035e-20,3.6983092988930405e-16
590,9.145762182330399e-21,3.0077005840463595e-16
591,6.950846386561991e-21,2.4441630668868595e-16
592,5.277463883067885e-21,1.9846757148186855e-16
593,4.0029688908794576e-21,1.6103205257895714e-16
594,3.0332492489650408e-21,1.3055637695818132e-16
595,2.2961618277927442e-21,1.0576608534157367e-16
596,1.7364607374062e-21,8.561639598643092e-17
597,1.3118829704067277e-21,6.925150495087262e-17
598,9.901305059153293e-22,5.597097088836182e-17
