$\kappa t$,CNB I,CNB II,I Approx,II Approx
0.0,-0.0,-0.0,0.0,0.0
7.199999999999999e-05,0.3730947342093612,0.4636481369413533,0.0,0.02731156977155992
0.00014399999999999998,0.6008537908096837,0.7330099314188813,0.2792212945127227,0.4916283021875756
0.00021600000000000002,0.7804025943021713,0.9400803180749376,0.5627439621939456,0.7881736526124248
0.00028799999999999995,0.93149104990222,1.1112347330574448,0.7764995780403666,1.011893945329175
0.00036,1.0631307673298558,1.258314308955208,0.9504796444969739,1.1938078248350918
0.00043200000000000004,1.1804184101041908,1.3879138933966446,1.0984266823443178,1.3482447100210466
0.000504,1.2865874896057994,1.5041566812650717,1.2278665961721609,1.4831006230482915
0.0005759999999999999,1.3838453835904858,1.609822443874508,1.3434026740131446,1.603227330009377
0.0006479999999999999,1.4737782822599017,1.7068837861574333,1.448071997766096,1.7118364192564564
0.0007199999999999999,1.5575703860714578,1.7967975461205077,1.5439920985098652,1.811172203060186
0.000792,1.6361323992383012,1.880672933419995,1.6327027708692647,1.9028691626770509
0.0008640000000000001,1.7101815710062875,1.9593755649466449,1.7153614167181728,1.9881570109525142
0.000936,1.7802939433888891,2.0335948223548117,1.7928616005554823,2.067985588330476
0.001008,1.846939800809688,2.1038891860881765,1.865908587361408,2.1431046675377674
0.0010799999999999998,1.910508484903995,2.170717726578414,1.935069423669215,2.2141169903449445
0.0011519999999999998,1.9713262334314896,2.2344625835900693,2.0008072645453923,2.281514691080848
0.0012239999999999998,2.029669297477425,2.295445370166008,2.063505575271856,2.3457050169887625
0.0012959999999999998,2.0857737773263705,2.3539393974949694,2.1234856131599247,2.4070289302614882
0.001368,2.1398431246083787,2.410178937431733,2.1810193239894593,2.4657748442682506
0.00144,2.192053951970375,2.4643663517907815,2.2363390330527015,2.5221889532359034
0.001512,2.2425605922133323,2.516677655053253,2.2896448472990407,2.57648312641843
0.001584,2.2914987196398755,2.567266908413163,2.341110391882885,2.628841028222892
0.001656,2.338988257691231,2.616269729358136,2.3908873141687392,2.6794229243582914
0.0017280000000000002,2.3851357365517085,2.663806123153685,2.43910886178972,2.7283695002573642
0.0017999999999999995,2.4300362219295994,2.7099827883067604,2.4858927554238113,2.775804926920386
0.001872,2.4737749059606533,2.7548950095365123,2.5313435177705745,2.8218393460219375
0.001944,2.5164284293110293,2.7986282241177416,2.5755543784518964,2.866570902234861
0.002016,2.5580659875230918,2.84125932720905,2.6186088447547275,2.910087418559666
0.002088,2.598750262780184,2.882857766872263,2.6605820065305297,2.9524677878626067
0.00216,2.6385382133121973,2.9234864682968498,2.701541627794231,2.9937831364762886
0.002232,2.677481745907922,2.9632026183277738,2.7415490657622086,3.03409780341372
0.002304,2.715628291801361,3.0020583349764283,2.7806600491970337,3.0734701694098336
0.002376,2.753021302219328,3.0401012416355115,2.8189253413125983,3.1119533627875438
0.002448,2.7897006767304493,3.0773749618633763,2.85639130727167,3.149595863482378
0.00252,2.8257031350900554,3.113919547595484,2.893100402382396,3.1864420223052807
0.002592,2.861062541338033,3.149771851284947,2.929091594051859,3.2225325095065855
0.002664,2.8958101873390003,3.1849658505855736,2.964400727945513,3.2579047039824336
0.002736,2.9299750417373818,3.2195329326735567,2.999060847083125,3.2925930322918555
0.002808,2.9635839692931487,3.2535021440978027,3.0331024709975347,3.3266292650637097
0.00288,2.996661924736435,3.2869004110600715,3.0665538407934387,3.3600427770915275
0.002952,3.0292321246382152,3.3197527342551987,3.0994411351232984,3.3928607764106262
0.003024,3.0613162002210714,3.3520823617110573,3.13178866105544,3.4251085066338716
0.0030960000000000002,3.0929343335954957,3.383910942557089,3.1636190232153414,3.4568094262734075
0.003168,3.1241053795472182,3.415258664201508,3.194953274209575,3.4879853681323336
0.00324,3.1548469746879713,3.4461443750218432,3.225811048796611,3.518656681352316
0.003312,3.1851756355164684,3.4765856943704123,3.2562106838902434,3.5488423583002575
0.0033840000000000003,3.215106846690807,3.506599111458671,3.286169325889525,3.5785601484635055
0.0034560000000000003,3.2446551407387685,3.5362000744291056,3.3157030276180075,3.6078266606219005
0.0035280000000000003,3.2738341700896134,3.565403070764296,3.3448268351572965,3.6366574547747255
0.003599999999999999,3.302656772363082,3.594221700037162,3.3735548663415247,3.665067125092368
0.003672,3.3311350296840825,3.6226687398670303,3.401900382150827,3.6930693749971244
0.003744,3.3592803225689387,3.6507562058298415,3.4298758507520626,3.7206770852140174
0.003816,3.3871033790799827,3.67849540597988,3.457493006100922,3.74790237553132
0.003888,3.4146143196970202,3.7058969905542622,3.4847629012773975,3.77475666097105
0.00396,3.4418226983074605,3.732970997369137,3.511695956690215,3.801250702972818
0.004032,3.4687375399163667,3.75972689334893,3.5383020057965378,3.8273946561277556
0.004104,3.4953673749476892,3.7861736125877012,3.564590333949628,3.853198110978007
0.004176,3.5217202710179083,3.8123195912757115,3.5905697165719808,3.878670133131929
0.004248,3.5478038621160732,3.83817279980923,3.6162484537180117,3.9038192991985596
0.004319999999999999,3.573625375298594,3.8637407723502126,3.6416343998448144,3.928653729800594
0.004391999999999999,3.5991916556188817,3.889030634079897,3.6667349942107217,3.9531811199515468
0.004463999999999999,3.6245091890064884,3.91404912636092,3.6915572873800278,3.9774087670478333
0.004535999999999999,3.6495841233546886,3.9388026300008825,3.716107964842469,4.001343596698931
0.004607999999999999,3.6744222882733197,3.9632971867898,3.7403933710267934,4.024992186590799
0.004679999999999999,3.6990292132540814,3.98753851946452,3.764419529990285,4.048360788560646
0.004751999999999999,3.7234101444944354,4.011532050241149,3.7881921641360625,4.071455349043483
0.004823999999999999,3.747570060751416,4.03528291803777,3.8117167136449073,4.094281528031607
0.004895999999999999,3.7715136879026487,4.058795994500218,3.8349983526259797,4.116844716674539
0.004967999999999999,3.795245512538607,4.0820758989321435,3.8580420043818124,4.139150053634162
0.005039999999999999,3.8187697948115313,4.105127012220473,3.8808523571824236,4.161202440298587
0.005111999999999999,3.8420905802322176,4.127953489838931,3.903433877049621,4.18300655494784
0.005183999999999999,3.86521171075481,4.150559273972642,3.925790820185086,4.20456686563065
0.005255999999999999,3.888136835227888,4.1729481049861326,3.947927245343671,4.225887643434811
0.005327999999999999,3.910869419206812,4.195123531971157,3.9698470255312532,4.246972972818749
0.005399999999999999,3.933412753943057,4.217088922853268,3.9915538570055293,4.2678267634437885
0.005472,3.955769965228263,4.238847473709281,4.013051271327282,4.288452759540835
0.005544,3.9779440210517065,4.260402217552326,4.034342640905612,4.308854548969153
0.005616,3.9999377397332436,4.281756032764071,4.055431192256939,4.329035573263688
