$\kappa t$,CNB I,CNB II
0.0,0.0,0.0
7.199999999999999e-05,0.11632246068781775,0.159126684612114
0.00014399999999999998,0.2349163911029163,0.3213543891538028
0.000216,0.3558220218412499,0.4867358275231497
0.00028799999999999995,0.47908012809979145,0.6553242920513349
0.00035999999999999997,0.6047320302233351,0.82717364668094
0.000432,0.7328195939157377,1.0023383189669373
0.000504,0.8633852301170816,1.180873293558239
0.0005759999999999999,0.9964718946759534,1.3628341014614684
0.0006479999999999999,1.1321230869170849,1.5482768108213074
0.0007199999999999999,1.27038284941478,1.737258017141173
0.000792,1.4112957656463023,1.9298348319625624
0.000864,1.5549069582542046,2.126064871038356
0.0009359999999999999,1.7012620866126664,2.326006241725669
0.001008,1.8504073439831608,2.529717529587371
0.0010799999999999998,2.0023894542268588,2.7372577841842554
0.0011519999999999998,2.157255668064196,2.9486865040505257
0.0012239999999999998,2.315053758856599,3.164063620827862
0.0012959999999999998,2.4758320179058737,3.3834494825559838
0.0013679999999999999,2.639639249253222,3.6069048361068727
0.0014399999999999999,2.8065247639646858,3.834490808735867
0.0015119999999999999,2.9765383738831512,4.066268888764316
0.001584,3.149730384845987,4.30230090537943
0.001656,3.326151589353347,4.542649007507947
0.001728,3.5058532586454385,4.787375641800719
0.0017999999999999997,3.68888713421563,5.036543529738827
0.0018719999999999997,3.8753054187349187,5.290215643768142
0.0019439999999999998,4.065160766371313,5.548455182551669
0.002016,4.2585062724504406,5.811325545274345
0.002088,4.455395462526382,6.078890305082743
0.0021599999999999996,4.655882280806289,6.351213181571919
0.0022319999999999996,4.8600210779324,6.628358012321789
0.0023039999999999996,5.067866598052172,6.910388723541202
0.0023759999999999996,5.279473965246731,7.197369299848211
0.0024479999999999997,5.494898669275619,7.489363753148653
0.0025199999999999997,5.714196550627027,7.7864360905727645
0.0025919999999999997,5.937423784910995,8.088650281529823
0.0026639999999999997,6.164636866473365,8.396070223931234
0.0027359999999999997,6.395892591303631,8.708759709568028
0.0028079999999999997,6.6312480392482165,9.026782388636228
0.0028799999999999997,6.8707605554737095,9.350201733429463
0.0029519999999999998,7.114487731264683,9.67908100126077
0.0030239999999999998,7.362487384063057,10.013483196593779
0.003096,7.61481753671981,10.353471032415575
0.003168,7.871536396002832,10.6991068908869
0.00324,8.132702330406666,11.050452783294059
0.003312,8.398373847259146,11.407570309294952
0.003384,8.668609568912215,11.77052061560704
0.003456,8.943468208578684,12.139364354052951
0.003528,9.223008545041235,12.514161638969835
0.0035999999999999995,9.507289396747955,12.894972004121788
0.0036719999999999995,9.79636959546496,13.281854359122141
0.0037439999999999995,10.090307958655957,13.674866945396237
0.0038159999999999995,10.389163261553326,14.0740672917325
0.0038879999999999995,10.692994208507333,14.479512169441668
0.00396,11.001859403322745,14.891257547200206
0.004032,11.315817320195976,15.309358545583203
0.004104,11.634926271683101,15.733869391386394
0.004176,11.959244378131563,16.1648433717375
0.004248,12.288829535907501,16.60233278808623
0.004319999999999999,12.623739383581858,17.046388910095548
0.004391999999999999,12.964031269863389,17.497061929496475
0.004463999999999999,13.309762219621136,17.95440091397341
0.004535999999999999,13.660988898877646,18.418453761098725
0.004607999999999999,14.017767580868611,18.889267152404656
0.004679999999999999,14.380154110351448,19.366886507617384
0.004751999999999999,14.748203867226398,19.851355939154637
0.004823999999999999,15.121971731153817,20.34271820690509
0.004895999999999999,15.501512044296511,20.841014673355993
0.004967999999999999,15.886878573922047,21.3462852591238
0.005039999999999999,16.278124475660885,21.858568398949537
0.005111999999999999,16.675302255102043,22.377900998216187
0.005183999999999999,17.078463729663827,22.904318390497412
0.005255999999999999,17.487659990418482,23.437854294069805
0.005327999999999999,17.902941363651383,23.978540771847992
0.005399999999999999,18.32435737149555,24.52640818904526
0.0054719999999999994,18.7519566937425,25.081485173860145
0.0055439999999999994,19.18578712750725,25.64379857947971
0.0056159999999999995,19.625895549376235,26.21337344274152
0.0056879999999999995,20.072327874608845,26.790232950558664
0.0057599999999999995,20.525129019265407,27.374398401230426
0.0058319999999999995,20.98434285997796,27.965889169872565
0.0059039999999999995,21.45001219522177,28.564722679168778
0.0059759999999999995,21.922178706447742,29.170914350123837
0.0060479999999999996,22.40088291857802,29.7844775961138
0.00612,22.886164162639602,30.405423765369818
0.006192,23.37806053439325,31.033762125623788
0.006264,23.876608860905666,31.669499848163525
0.006336,24.381844657399785,32.31264194327273
0.006408,24.893802092710303,32.96319129405945
0.00648,25.412513954329324,33.62114856546656
0.006552,25.93801160353481,34.28651223913489
0.006624,26.47032495405484,34.95927856273698
0.006696,27.009482417565458,35.63944152902774
0.006768,27.55551088577292,36.32699289013348
0.00684,28.10843568611705,37.02192208599882
0.006912,28.668280547967555,37.724216315183284
0.006984,29.235067581722163,38.43386041343817
0.007056,29.808817223543617,39.15083690981873
0.007128,30.389548240863338,39.87512606300414
0.007199999999999999,30.977277655375907,40.6067057174787
0.007271999999999999,31.572020743920397,41.34555141500198
0.007343999999999999,32.173791019159836,42.09163639086999
0.007415999999999999,32.782600156310046,42.84493145794663
0.007487999999999999,33.39845801977314,43.60540514493434
0.007559999999999999,34.02137260806462,44.37302362910052
0.007631999999999999,34.65135001375497,45.14775069537875
0.007703999999999999,35.288394463975045,45.92954787460152
0.007775999999999999,35.93250821064638,46.71837430375502
0.007847999999999999,36.58369156748201,47.514186790511914
0.00792,37.24194289837148,48.316939909336774
0.007991999999999999,37.90725853491514,49.12658584247273
0.008064,38.57963283330708,49.94307452132594
0.008136,39.25905811364098,50.766353666996565
0.008208,39.945524634630225,51.596368626511605
