gt,8.00,16.00,64.00,256.00
0.0,19.99999999999996,19.99999999999996,19.99999999999996,19.99999999999996
2.0,33.79850582459732,40.19011882517824,48.81707683555432,51.64081578881302
4.0,50.255890627184485,62.50301437838899,74.88303785845693,78.22086522020976
6.0,67.6968173080182,83.4942440682801,96.79846898784236,100.11607202793193
8.0,84.75612964759473,102.02783017828422,115.00113655242076,118.10313621023384
10.0,100.60506014274168,117.96298570286336,130.05143825670254,132.86429625895363
12.0,114.8597513507295,131.48819327839328,142.46712476822785,144.9717554256533
14.0,127.41960625585797,142.885289788139,152.6959466721338,154.8995443174894
16.0,138.33935054061513,152.44629549890348,161.11605432366682,163.0384690139204
18.0,147.74857663759417,160.44325230703333,168.04335630282907,169.7099734597227
20.0,155.80609851663516,167.11818796812793,173.7402343646786,175.1781129517216
22.0,162.675542815741,172.681312021095,178.42386721051176,179.6596338747726
24.0,168.51299791393026,177.31264631517325,182.27362826901597,183.33236233460826
26.0,173.4613113796177,181.16499252658153,185.43745162160693,186.34214460539687
28.0,177.64799679423442,184.3672764055613,188.03721962251873,188.80857055726273
30.0,181.18506282285702,187.02782597515053,190.1732775058953,190.82968433016393
32.0,184.16982596334574,189.23738878642638,191.92819510926364,192.48585559306892
34.0,186.68618165252425,191.0718157173739,193.36988826827465,193.84295964375877
36.0,188.8060504734678,192.59439947574887,194.5542021334504,194.95498789017876
38.0,190.59081674602143,193.85788542691316,195.5270456498828,195.86618936155884
40.0,192.0927063455674,194.90618472643047,196.32615234859014,196.61282640430088
42.0,193.35603923335282,195.77582489511988,196.9825317442975,197.2246158674999
44.0,194.41835099023749,196.49717211001519,197.52166425057243,197.72590966667926
46.0,195.3113807404055,197.09545770701814,197.964485718996,198.13666363745165
48.0,196.06193151759905,197.5916378834153,198.32819593466508,198.47322845976913
50.0,196.69261512020415,198.00311232427342,198.62692480385687,198.7490012279702
52.0,197.22249115012022,198.34432396470478,198.87227970180703,198.97496263654347
54.0,197.6676137632479,198.6272591438394,199.07379539001465,199.16011142948622
56.0,198.04149896524518,198.86186222003457,199.23930424678616,199.31181730845034
58.0,198.35551852605568,199.0563840540935,199.37523920220863,199.43612167547064
60.0,198.6192368909092,199.21766825474253,199.48688381295113,199.53797339763182
62.0,198.84069535092732,199.35139136254105,199.57857823477028,199.62142754551314
64.0,199.02665872863952,199.46226133039622,199.65388721935648,199.6898076981308
66.0,199.18280896322415,199.55418248907935,199.71573862385432,199.74583687538563
68.0,199.3139199197865,199.6303924669845,199.76653719848022,199.7917456010398
70.0,199.4240041654972,199.69357180208803,199.8082580207887,199.8293619933395
72.0,199.51643225231115,199.74594997312695,199.84252319874597,199.86018390014058
74.0,199.59403340744834,199.78938401452749,199.870662152818,199.88543894072177
76.0,199.65918637071502,199.825393752704,199.8937700047775,199.90613276446123
78.0,199.71388542499722,199.85524469081957,199.9127525812874,199.9230886634115
80.0,199.7598072170847,199.87999275647564,199.92834975407885,199.93698160155236
82.0,199.79835947117414,199.90051102192717,199.94115776643358,199.94836498310607
84.0,199.83072262486021,199.91752125198713,199.95167410401157,199.9576921578291
86.0,199.85788898092918,199.93162418126352,199.96031060296855,199.96533531576304
88.0,199.8806955481708,199.94331674264302,199.96740411721035,199.97159856184402
90.0,199.89984383384044,199.9530102450065,199.9732298989567,199.97673059391516
92.0,199.9159198852338,199.96104600296025,199.97801429852677,199.98093524966544
94.0,199.92941509056163,199.96770744039898,199.98194369794496,199.9843801415006
96.0,199.94074297688226,199.97322980907634,199.9851707985522,199.98720371965996
98.0,199.95025206450416,199.97780616790644,199.9878207116714,199.98951797491907
100.0,199.95823439399743,199.9815986216174,199.98999542959993,199.99141404301642
102.0,199.96493650455474,199.9847424033566,199.99178078533927,199.99296721886998
104.0,199.97056380209352,199.9873494436062,199.99324666550189,199.9942393781752
106.0,199.97528824335072,199.98951185556373,199.9944499292511,199.995281430602
108.0,199.9792542181601,199.99130516238597,199.9954382111903,199.99613557885746
110.0,199.98258261963477,199.992791640277,199.99625029612332,199.996835027399
112.0,199.98537622684006,199.9940236441412,199.99691754947543,199.99740838026545
114.0,199.98772030286773,199.99504435862497,199.99746529336912,199.99787798685026
116.0,199.98968884797645,199.9958906713136,199.9979158719115,199.99826229783855
118.0,199.9913408547492,199.99659255658602,199.9982863947258,199.99857721547681
120.0,199.99272914491266,199.99717467814364,199.99859077155566,199.99883490879682
122.0,199.99389473514304,199.99765761613077,199.99884099919618,199.99904591060857
124.0,199.99487407247167,199.99805806607992,199.9990464626692,199.99921940378468
126.0,199.99569619674108,199.9983899586035,199.99921486616495,199.99936115566007
128.0,199.99638655937207,199.99866486697752,199.9993528969154,199.99947793164054
130.0,199.9969658114578,199.998892253041,199.99946687764404,199.99957301962613
132.0,199.99745185607625,199.99908094961592,199.99956007004602,199.9996513045402
134.0,199.99785886385294,199.9992367516487,199.99963734004507,199.9997148830504
136.0,199.9982009278621,199.9993664516079,199.99970079522353,199.99976711456952
138.0,199.99848696583194,199.99947380092604,199.99975290169826,199.99980954590208
140.0,199.99872754623007,199.9995631424763,199.99979563483382,199.99984433355706
142.0,199.9989297131512,199.99963751860233,199.99983127036384,199.9998726626414
144.0,199.99909954987544,199.99969929373876,199.99986017909444,199.99989617109037
146.0,199.9992428520874,199.9997506399415,199.99988456987907,199.99991552030139
148.0,199.999363329917,199.99979320568528,199.99990427437686,199.9999311036655
150.0,199.9994649354778,199.99982849786045,199.99992085620195,199.99994430205865
152.0,199.99955037550123,199.99985763338404,199.99993448190895,199.999955106998
